emp_id,emp_name,depart,salary
1,Lilas Nozzolii,Training,61488
2,Salvador Serck,Services,83802
3,Pavlov Kunkler,Sales,15771
4,Gerry Hawkslee,Services,84336
5,Lilith Cowcha,Training,19714
6,Arlie Dubber,Product Management,69516
7,Emera Duckit,Engineering,21770
8,Cesya Goathrop,Research and Development,72844
9,Jeremie Lowde,Training,66437
10,Hestia Revey,Human Resources,63032
11,Rodd Mallender,Legal,58136
12,Drud Geldeard,Research and Development,23654
13,Marshall Elwyn,Accounting,9952
14,Rica Rearie,Product Management,23759
15,Marius Ghion,Training,72026
16,Ferdy Valdes,Marketing,17795
17,Revkah Feldberger,Legal,59459
18,Antonina Plevin,Human Resources,14368
19,Liza Petrello,Marketing,23991
20,Stephenie Bellison,Support,88707
21,Prudy Farquarson,Marketing,48757
22,Rhys Meaddowcroft,Legal,61385
23,Rodrigo Rushby,Product Management,45252
24,Ashlan Flowitt,Legal,48388
25,Hanny Meriot,Engineering,82867
26,Jocelin Lyston,Support,49612
27,Ritchie Iacovozzo,Engineering,74169
28,Hildegarde Mounch,Legal,64432
29,Thorn Rodden,Accounting,77630
30,Duncan Twitching,Engineering,24875
31,Bill Thorowgood,Product Management,75753
32,Tirrell Ives,Sales,47513
33,Nobe Megroff,Sales,84558
34,Reginauld Chitham,Marketing,66728
35,Kendal Burkart,Support,46567
36,Berty Broy,Business Development,35778
37,Bryanty Mumberson,Support,66714
38,Cornie Canape,Legal,25395
39,Tootsie MacGille,Business Development,72472
40,Helaina McIndrew,Legal,40854
41,Danyette Dubs,Research and Development,61267
42,Dagmar Stiebler,Product Management,21192
43,Darryl Marian,Research and Development,27999
44,Stephi Betchley,Support,83357
45,Brittaney Basile,Legal,10423
46,Lynnett Weiser,Accounting,40577
47,Georgy Cane,Support,10387
48,Obidiah Gass,Human Resources,29455
49,Johanna Richmond,Accounting,41518
50,Kakalina Walasik,Training,52814
51,Levey Cobbin,Business Development,21187
52,Paule Davoren,Training,87063
53,Shaun Tofanelli,Support,79888
54,Jillian Hoofe,Training,36526
55,Anthiathia Abdey,Support,35788
56,Elden Feldmus,Product Management,35874
57,Rahel Wakely,Marketing,72830
58,Geno Archell,Training,51026
59,Susan Jewers,Training,56487
60,Rhianon Jarritt,Research and Development,72115
61,Karlen Port,Training,61182
62,Olenolin Hurich,Services,53863
63,Brit Vowden,Human Resources,41337
64,Monica Chandler,Accounting,31700
65,Galven Reisenberg,Training,67241
66,Launce Lansdown,Legal,55504
67,Julina McBrearty,Research and Development,80152
68,Nola Ducham,Business Development,77462
69,Templeton Elwell,Sales,66004
70,Skippie Salzburg,Product Management,16838
71,Erroll Farguhar,Product Management,88646
72,Gerrie Cowlin,Product Management,59220
73,Albertina Sutworth,Marketing,61358
74,Audra Giovannazzi,Human Resources,42977
75,Holly-anne Shewon,Business Development,53369
76,Julita Garmons,Marketing,76231
77,Carina Gettins,Services,47449
78,Emmalynne July,Accounting,35853
79,Armin Elkington,Research and Development,69708
80,Roda Bollini,Services,82605
81,Amandie Duckwith,Services,54575
82,Carce Polye,Accounting,76857
83,Jocko Challener,Support,71005
